target,model,loco_auc,loco_ci,temporal_auc,brier
y_breakout_wc,logreg,0.5544,"[0.55, 0.5593]",0.552,0.2555
y_breakout_wc,hgb,0.5574,"[0.5533, 0.5615]",0.5579,0.2471
y_breakout_wc,xgb,0.5584,"[0.5544, 0.5628]",0.5542,0.2481
y_breakout_wc,catboost,0.5618,"[0.5577, 0.566]",0.5666,0.2464
y_er_wc,logreg,0.5877,"[0.5835, 0.5922]",0.5986,0.2467
y_er_wc,hgb,0.5851,"[0.5807, 0.589]",0.6064,0.2408
y_er_wc,xgb,0.5879,"[0.5832, 0.5924]",0.6057,0.2403
y_er_wc,catboost,0.5878,"[0.5833, 0.5918]",0.6084,0.2397
