tag,model,auc,ci_lo,ci_hi,brier
hook,HGB (trees),0.5823,0.571,0.593,0.2441
hook,Linear probe,0.5683,0.558,0.58,0.3013
hook,MLP (2-hidden),0.5872,0.575,0.598,0.2456
hook,Gated fusion,0.5858,0.575,0.597,0.2459
