target,hgb_auc,xgb_auc,catboost_auc,stack_auc,stack_ci,n
y_breakout_wc,0.5574,0.5584,0.5618,0.5636,"(0.5594528717040783, 0.5680251382222848)",60001
y_er_wc,0.5868,0.5906,0.5897,0.5929,"(0.5887872124270971, 0.5975969211381328)",60001
